일자	언론사	제목	본문
20211017	한국경제	"카카오게임즈 데브시스터즈 호실적, 3N은 주춤 신흥강자 '잘나가네!'"	"카카오게임즈, 데브시스터즈 등 게임업계 신흥 강자들이 올 3분기 실적에서도 약진할 전망이다. 기존 강자 ‘3N(넥슨, 엔씨소프트, 넷마블)’는 2분기에 이어 또다시 부진한 성적표를 받을 것으로 예상된다. 
 
17일 금융정보업체 에프앤가이드에 따르면 카카오게임즈 3분기 매출, 영업이익 전망치는 각각 3942억원, 715억원이다. 지난해 3분기 대비 16.."
20211017	전자신문	[취업걱정없는명품학교]<297>단국대학교부속소프트웨어고등학교	"단국대학교부속소프트웨어고등학교는 서울 강남구 대치동에 위치한 소프트웨어(SW) 분야 특성화 학교다. SW 분야에 관심과 흥미를 가진 중학생은 단대소고에서 3년, 대학에서 4년, 도합 7년간 공부할 수 있다. 사회에 진출할 때 최고의 실력을 갖추도록 하고 있다.

일반적으로 특성화고는 고등학교 졸업 후 취업을 목표로 교육을 하지만, 단대소고는 대학 진학을.."
20211016	헤럴드경제	"[플러스]가상자산 거래소, 미래 먹거리 찾기 분주"	"[헤럴드경제=박자연 기자]거래 수수료로 수익을 창출하던 가상자산 거래소들이 이제는 블록체인 기반 플랫폼으로 영역을 확장하고 있다. 대체불가능토큰(NFT Non-Fungible Token), 디파이(De-Fi) 시장은 물론이고 메타버스등 새로운 기술을 접목해 미래 사업 추진에 속도를 붙이는 중이다. 
 
 그간 거래 수수료는 가상자산 거래소 수익원의 대부.."
20211016	아시아경제	엔씨 넥슨 넷마블 동시에 '지스타' 건너뛴 까닭은[부애리의 게임사전]	"[아시아경제 부애리 기자] 국내 최대 규모의 게임전시회 '지스타 2021'에 3N(엔씨소프트 넥슨 넷마블)이 불참을 선언했다. 세 회사가 동시에 참여하지 않는 것은 처음이다. 
 
16일 한국게임산업협회에 따르면 지난해 코로나19 영향으로 온라인 행사 위주로 진행됐던 지스타는 올해 현장 개최를 결정했다. 지스타는 오는 17일부터 21일까지 부산 벡스코(.."
20211015	헤럴드경제	‘개발자 모시기’ 광풍 4살 꼬마도 ‘코딩열풍’	"“결국 미래는 인공지능과 소프트웨어 이해가 필수입니다. 코딩교육이라고 해서 어려운 컴퓨터 용어가 아니라 덧셈, 뺄셈처럼 기본적인 개념부터 차근차근 가르쳐 논리적 사고를 키워주려 합니다.”(코딩 교육 앱을 이용 중인 4세 자녀를 둔 학부모) 
 
 “아이가 컴퓨터에 관심을 보이는 만큼 방과 후 수업만으로는 부족하다고 판단했습니다. 한 달 20만원 넘는 금.."
20211015	머니투데이	법 시행 한달에도 구글 애플은 '요지부동' 인앱결제 어디로?	"[머니투데이 이동우 기자] 인앱(In-app) 결제 강제를 막는 '구글 갑질 방지법'(전기통신사업법 개정안)이 시행 한 달이 지났지만 글로벌 앱마켓의 태도는 여전히 요지부동이다. 구체적인 이행 계획의 제출은 커녕 현행 제도를 유지하겠다는 입장까지 내비쳐 국내 개발사들의 혼란이 이어질 전망이다. 

14일 국회에 따르면 방송통신위원회는 지난 11일까지 구.."
20211014	한국경제	"페이팔 발굴 美 실리콘밸리 투자사, '토종 P2P' 8퍼센트에 400억 투자"	"세계 최대 간편결제 기업 페이팔을 발굴한 미국 실리콘밸리 투자사 BRV캐피털매니지먼트가 국내 1호 온라인투자연계금융(P2P금융) 기업인 8퍼센트에 400억원대 투자를 단행했다. 이외에도 차이코퍼레이션과 파운트 등 핀테크 업체들이 수백억원대 투자를 유치 중이거나 성공한 사례가 잇따르고 있다. 
 
8퍼센트는 BRV 등 3개 기관으로부터 453억원의 투자금.."
20211014	아시아경제	콘텐츠 분쟁 조정 신청 1위는 '블리자드'	"[아시아경제 부애리 기자] 올해 콘텐츠 분쟁 신청이 가장 많았던 게임사는 블리자드였다. 
 
국회 문화체육관광위원회 이상헌 더불어민주당 의원이 14일 콘텐츠분쟁조정위원회로부터 제출받은 자료에 따르면 올해 8월까지 접수된 콘텐츠 분쟁 조정은 1만475건이었다. 지난해(9673건) 대비 802건 증가했다. 
 
분야별 콘텐츠 분쟁 조정 신청 비율은 게임이 .."
20211014	전자신문	"게임 대응 늘어나는데 전문성, 인력 부족한 콘분위... 확충 시급"	"콘텐츠분쟁조정위원회 게임 관련 조정사건 접수가 늘고 있지만 이를 처리할 게임 전문 인력이 턱없이 부족하다. 신속한 처리와 이용자 보호 강화를 위해 규모와 인력 확충이 시급하다. 
 
14일 콘텐츠분쟁조정위원회(이하 콘분위)에 따르면 2021년 게임 콘텐츠 분쟁조정 접수건수는 1만5944건으로 2019년 4788건에 비해 30% 증가했다. 2016년 33.."
20211014	서울경제	"채용현장도 ‘메타버스’가 대세 ""취준도 게임처럼"""	"코로나 19 이후 기업들의 채용에 비대면 흐름이 거세지고 있는 가운데 이제는 대세로 떠오르고 있는 메타버스를 활용한 채용설명회가 확산되고 있다. 젊은 층의 관심은 물론 앞서가는 기업 이미지 부각을 위해 메타버스를 활용한 채용 방식은 더욱 활성화 될 전망이다. 
 

 
 
 게임사들은 ‘메타버스 원조’ 답게 메타버스 채용박람회를 적극 활용하고 있다. 게.."
